Order,Month,Weight loss: (Australia),Moving mean,Average moving mean,,Order,Weight loss: (Australia),Average moving mean,Individualised monthly effect,average monthly effect,Month,adjustable individual mean,
1,2008-01,80,,,,1,80,,,,Jan,,
2,2008-02,65,,,,2,65,,,,Feb,,
3,2008-03,56,,,,3,56,,,,Mar,,
4,2008-04,56,,,,4,56,,,,Apr,,
5,2008-05,41,,,,5,41,,,,May,,
6,2008-06,48,,,,6,48,,,,Jun,,
7,2008-07,53,55.58333333,55.375,,7,53,55.375,-2.375,-3.041666667,Jul,56.04166667,above
8,2008-08,59,55.16666667,54.95833333,,8,59,54.95833333,4.041666667,1.991666667,Aug,57.00833333,below
9,2008-09,61,54.75,54.875,,9,61,54.875,6.125,5.341666667,Sep,55.65833333,above
10,2008-10,60,55,55.5,,10,60,55.5,4.5,6.466666667,Oct,53.53333333,above
11,2008-11,46,56,56.75,,11,46,56.75,-10.75,-1.125,Nov,47.125,below
12,2008-12,42,57.5,57.66666667,,12,42,57.66666667,-15.66666667,-12.35833333,Dec,54.35833333,below
13,2009-01,75,57.83333333,58.29166667,,13,75,58.29166667,16.70833333,15.425,Jan,59.575,above
14,2009-02,60,58.75,58.875,,14,60,58.875,1.125,5.833333333,Feb,54.16666667,
15,2009-03,59,59,59.58333333,,15,59,59.58333333,-0.583333333,-3.891666667,Mar,62.89166667,
16,2009-04,68,60.16666667,60.66666667,,16,68,60.66666667,7.333333333,0.416666667,Apr,67.58333333,
17,2009-05,59,61.16666667,62.70833333,,17,59,62.70833333,-3.708333333,-4.941666667,May,63.94166667,
18,2009-06,52,64.25,65.25,,18,52,65.25,-13.25,-10.31666667,Jun,62.31666667,
19,2009-07,64,66.25,67.08333333,,19,64,67.08333333,-3.083333333,-3.041666667,Jul,67.04166667,
20,2009-08,62,67.91666667,69.04166667,,20,62,69.04166667,-7.041666667,1.991666667,Aug,,
21,2009-09,75,70.16666667,70.58333333,,21,75,70.58333333,4.416666667,5.341666667,Sep,,
22,2009-10,72,71,71.45833333,,22,72,71.45833333,0.541666667,6.466666667,Oct,,
23,2009-11,83,71.91666667,72.45833333,,23,83,72.45833333,10.54166667,-1.125,Nov,,
